Price,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
Ticker,BTC-USD,QQQ,BTC-USD,QQQ,BTC-USD,QQQ,BTC-USD,QQQ,BTC-USD,QQQ
Date,,,,,,,,,,
2021-02-18,51679.796875,323.053955078125,52474.10546875,324.4142990600901,51015.765625,319.0603409863732,52140.97265625,320.8774047069809,52054723579,32236200.0
2021-02-19,55888.1328125,321.64495849609375,56113.65234375,324.5308443974643,50937.27734375,320.6247080843372,51675.98046875,324.40452146675216,63495496918,39157700.0
2021-02-20,56099.51953125,,57505.2265625,,54626.55859375,,55887.3359375,,68145460026,
2021-02-21,57539.9453125,,58330.5703125,,55672.609375,,56068.56640625,,51897585191,
2021-02-22,54207.3203125,313.3080139160156,57533.390625,318.51619637601345,48967.56640625,313.1039697365351,57532.73828125,317.253026203435,92052420332,47256900.0
2021-02-23,48824.42578125,312.3751525878906,54204.9296875,314.0464404608755,45290.58984375,302.19195326257943,54204.9296875,308.0220231004427,106102492824,97241900.0
2021-02-24,49705.33203125,314.95013427734375,51290.13671875,315.2610784917458,47213.5,307.0115084563774,48835.0859375,309.71277330579164,63695521388,58206300.0
2021-02-25,47093.8515625,303.97015380859375,51948.96875,314.8529642147597,47093.8515625,302.4251886449934,49709.08203125,312.28774854888815,54506565949,110182600.0
2021-02-26,46339.76171875,305.24310302734375,48370.78515625,310.0723167812001,44454.84375,302.07542157844443,47180.46484375,306.9046649855758,350967941479,104739800.0
2021-02-27,46188.453125,,48253.26953125,,45269.02734375,,46344.7734375,,45910946382,
2021-02-28,45137.76953125,,46716.4296875,,43241.6171875,,46194.015625,,53443887451,
2021-03-01,49631.2421875,314.42547607421875,49784.015625,314.76556951645193,45115.09375,308.9354978894064,45159.50390625,310.22781738595927,53891300112,49164500.0
2021-03-02,48378.98828125,309.3824768066406,50127.51171875,315.1445240951054,47228.84375,309.12986052139905,49612.10546875,315.0668028504032,47530897720,48370000.0
2021-03-03,50538.2421875,300.4040832519531,52535.13671875,309.22690965210626,48274.3203125,300.34578492301915,48415.81640625,308.28438046331416,53220811975,86301100.0
2021-03-04,48561.16796875,295.4874267578125,51735.08984375,303.2025561322698,47656.9296875,291.6104095232138,50522.3046875,300.0348748513889,52343816680,139131600.0
2021-03-05,48927.3046875,299.9377136230469,49396.4296875,300.8413675153579,46542.515625,289.02578299667096,48527.03125,298.11095329024096,48625928883,121523700.0
2021-03-06,48912.3828125,,49147.21875,,47257.52734375,,48899.23046875,,34363564661,
2021-03-07,51206.69140625,,51384.3671875,,48918.6796875,,48918.6796875,,43137459378,
2021-03-08,52246.5234375,291.4451599121094,52314.0703125,301.2785384919294,49506.0546875,291.0273454054279,51174.1171875,299.3934804231045,48597428048,88409800.0
2021-03-09,54824.1171875,302.9400939941406,54824.1171875,304.8446045678028,51981.83203125,298.2274785672313,52272.96875,298.76188970226286,50912227385,80391100.0
2021-03-10,56008.55078125,302.0753479003906,57258.25390625,307.5070259176589,53290.890625,301.38546462571725,54824.01171875,307.2058080236493,57295577614,76798100.0
2021-03-11,57805.12109375,309.0326232910156,58091.0625,310.80105553782056,54484.59375,305.9329666557301,55963.1796875,306.82689422606705,56772343595,53484800.0
2021-03-12,57332.08984375,306.525634765625,57996.62109375,309.21720269223636,55376.6484375,302.5709265365958,57821.21875,304.97094352174713,55689944702,69315600.0
2021-03-13,61243.0859375,,61683.86328125,,56217.97265625,,57343.37109375,,60669829814,
2021-03-14,59302.31640625,,61597.91796875,,59302.31640625,,61221.1328125,,43901225564,
2021-03-15,55907.19921875,309.8002014160156,60540.9921875,309.96539978622474,55393.1640625,305.2041817076234,59267.4296875,306.84632052389355,66419369890,42955700.0
2021-03-16,56804.90234375,311.50067138671875,56833.1796875,315.0181723627581,53555.02734375,310.06260622680605,55840.78515625,311.99623689629607,59749798599,54925900.0
2021-03-17,58870.89453125,312.7832336425781,58969.81640625,314.6780181574044,54528.62890625,306.73939353086337,56825.828125,308.4592830713799,60258313191,78258700.0
2021-03-18,57858.921875,303.2025146484375,60116.25,308.87711254196756,54253.578125,302.7458246468267,58893.078125,307.8957079388046,55746041000,82718100.0
2021-03-19,58346.65234375,304.27142333984375,59498.375,305.81638861481275,56643.703125,300.88997144447626,57850.44140625,303.03737265208133,49063873786,78446200.0
2021-03-20,58313.64453125,,60031.28515625,,58213.296875,,58332.26171875,,50361731222,
2021-03-21,57523.421875,,58767.8984375,,56005.6171875,,58309.9140625,,51943414539,
